questionnaireId,instructions,questionId,order,question,required,type,answers
6d61f21836e11001c7d3a86a059b0000,,6d61f21836e11001c7d3a99d6f410005,d,"Are you subject to a non-competition or other agreement, or aware of other circumstances, that would preclude or restrict your employment with Tencent?",true,Multiple Choice - Single Select,"Yes, I can describe with details.; Yes, I can upload with supporting documents.; No."
6d61f21836e11001c7d3a86a059b0000,,6d61f21836e11001c7d3aa3704d60000,d.a,Please describe the situation here,true,Text,
6d61f21836e11001c7d3a86a059b0000,,6d61f21836e11001c7d3aa3704d60001,d.b,Please upload related document(s) for further evaluation.,true,Upload Attachments,
6d61f21836e11001c7d3a86a059b0000,,6d61f21836e11001c7d3aa3704d60002,e,"Are you a citizen or lawful permanent resident from one of the below countries/regions: Cuba, Syria, Iran, Crimea Region, North Korea, and Donbas Region(a.k.a Donetsk/ Luhansk)? Your response to this question will only be used to ensure compliance with applicable export control laws and regulations.",true,Multiple Choice - Single Select,Yes; No
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d00c938eb0001,a,"If you were referred by a Campus Ambassador, please enter the referral code:",false,Text,
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01638efb0000,b,Do you have any relatives employed with us?,true,Multiple Choice - Single Select,Yes; No
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01638efb0003,c,Do you now or will you in the future require immigration sponsorship to work at the company?,true,Multiple Choice - Single Select,Yes; No
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01638efb0006,d,Have you been previously employed with Tencent or any subsidiaries of Tencent?,true,Multiple Choice - Single Select,Yes; No
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01fdea210001,d.a,"What is your previous tencent account? (prefix of your tencent working email, for example, meimeihan)

If you forget it, kindly provide the mobile number or personal email during your previous employment at Tencent.",true,Text,
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01fdea210002,e,"Are you subject to a non-competition or other agreement, or aware of other circumstances, that would preclude or restrict your employment with Tencent?",true,Multiple Choice - Single Select,"Yes, I can describe with details.; Yes, I can upload with supporting documents.; No."
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01fdea210006,e.a,Please describe the situation here,true,Text,
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01fdea210007,e.b,Please upload related document(s) for further evaluation.,true,Upload Attachments,
996e5ca7e8851001972d00c938eb0000,,996e5ca7e8851001972d01fdea210008,f,"Are you a citizen or lawful permanent resident from one of the below countries/regions: Cuba, Syria, Iran, Crimea Region, North Korea, and Donbas Region(a.k.a Donetsk/ Luhansk)? Your response to this question will only be used to ensure compliance with applicable export control laws and regulations.",true,Multiple Choice - Single Select,Yes; No
